mediacontent_id,genre_id
1,2
1,3
1,5
1,2
1,3
1,5
1,2
1,3
1,5
2,2
2,9
3,5
3,14
4,5
4,8
4,14
5,5
6,1
6,6
6,8
7,5
7,8
7,14
8,1
8,2
8,8
9,1
9,6
9,8
9,16
10,1
10,2
10,16
11,8
11,14
12,5
12,11
13,2
13,3
13,8
14,8
15,1
15,2
16,6
16,8
17,8
17,14
18,5
19,2
19,5
19,6
20,1
20,5
20,6
21,5
21,6
21,16
22,6
22,13
22,16
23,1
23,2
23,6
23,16
24,8
24,9
25,8
25,14
26,8
27,5
27,8
27,14
28,8
28,14
29,2
29,9
30,6
30,8
31,8
32,13
32,16
34,5
34,8
34,9
36,8
38,5
38,14
39,5
39,14
40,8
41,8
41,17
42,1
42,6
42,8
43,8
43,14
44,1
44,9
45,5
45,6
45,8
46,8
46,14
47,6
47,13
47,16
48,2
48,3
48,14
49,8
49,14
50,6
50,8
50,16
52,5
52,14
53,8
54,5
55,8
57,5
57,8
57,14
58,5
58,8
58,14
60,2
60,9
61,8
61,16
62,8
63,5
63,6
64,5
64,14
65,5
66,1
66,11
66,16
68,5
68,14
69,5
69,8
70,1
70,6
70,11
70,16
71,1
72,5
72,8
72,14
73,8
74,8
74,14
75,5
76,11
76,17
77,7
78,8
78,16
79,6
79,16
80,8
81,6
81,8
82,5
82,8
83,8
83,14
85,8
85,14
86,2
86,8
87,2
87,5
88,5
89,1
89,6
89,16
92,8
92,11
92,16
93,5
93,9
93,11
93,14
94,5
94,8
94,14
95,1
95,16
96,5
97,8
99,7
100,8
100,16
101,5
101,6
101,8
102,5
102,14
103,13
103,16
104,5
105,8
105,14
106,5
106,8
107,2
107,5
108,7
110,1
110,8
110,17
111,6
111,8
112,1
112,5
112,6
112,16
113,6
113,8
113,13
116,7
117,5
117,6
117,8
118,5
118,14
119,5
119,8
121,6
121,8
122,5
122,14
123,5
123,8
123,14
125,5
126,2
126,5
126,9
128,7
129,5
129,14
132,13
132,16
135,5
137,5
140,8
140,14
141,5
141,14
144,5
144,8
144,14
145,1
145,5
145,6
145,16
146,2
146,8
147,6
147,8
148,5
148,8
148,14
149,5
149,6
149,8
150,8
151,1
151,2
151,8
151,17
152,8
152,11
153,1
153,6
153,9
154,8
154,14
155,8
155,16
156,5
157,5
158,5
158,9
159,6
159,8
159,13
160,1
160,2
161,1
161,8
161,16
161,17
162,7
163,1
163,6
163,16
164,6
164,13
164,16
165,1
165,16
166,5
166,6
166,8
168,1
168,2
168,8
168,14
169,2
169,5
169,8
170,1
170,6
170,8
170,16
171,5
171,8
171,14
172,1
172,2
173,1
174,5
174,8
175,6
175,8
176,5
177,8
177,9
177,11
178,5
178,8
179,8
179,14
180,5
180,14
181,1
181,2
181,9
183,6
183,11
183,16
184,11
184,16
185,1
185,6
185,8
185,13
185,16
186,5
186,14
187,5
187,8
187,14
188,1
188,8
188,9
188,11
188,16
189,5
189,8
189,9
190,8
191,8
191,14
193,8
194,5
194,8
195,5
195,8
196,1
196,11
198,6
198,8
198,16
199,8
199,14
201,8
201,9
202,8
202,14
203,5
203,8
204,1
204,16
205,5
205,8
206,7
207,8
207,14
208,1
208,2
209,8
210,1
210,8
210,18
211,8
212,1
212,2
212,5
213,8
214,8
214,17
215,8
215,14
216,5
217,8
217,16
218,5
218,8
219,8
220,8
220,11
220,13
220,16
222,8
222,14
223,5
224,5
224,8
224,14
225,6
225,8
225,16
227,1
227,6
227,16
228,5
228,6
